date,interval,slot,original_plan_kwh,final_plan_kwh,daily_original_plan_kwh,daily_final_plan_kwh,daily_total_cost_yuan
2025-03-20,10:00-10:10,61,0.0,0.0,69978.08836005445,67090.89437199276,53427.88182602947
2025-03-20,12:00-12:10,73,673.7825300670852,514.241164522385,69978.08836005445,67090.89437199276,53427.88182602947
2025-03-20,14:00-14:10,85,0.0,0.0,69978.08836005445,67090.89437199276,53427.88182602947
2025-03-20,16:00-16:10,97,672.6814742301052,672.6814742301052,69978.08836005445,67090.89437199276,53427.88182602947
2025-03-20,18:00-18:10,109,688.7053630298965,688.7053630298965,69978.08836005445,67090.89437199276,53427.88182602947
2025-03-20,20:00-20:10,121,0.0,0.0,69978.08836005445,67090.89437199276,53427.88182602947
2025-06-21,10:00-10:10,61,0.0,0.0,37145.12497455148,37145.12497455148,23056.9528134756
2025-06-21,12:00-12:10,73,0.0,0.0,37145.12497455148,37145.12497455148,23056.9528134756
2025-06-21,14:00-14:10,85,0.0,0.0,37145.12497455148,37145.12497455148,23056.9528134756
2025-06-21,16:00-16:10,97,129.67835173143624,129.67835173143624,37145.12497455148,37145.12497455148,23056.9528134756
2025-06-21,18:00-18:10,109,477.2522508054755,477.2522508054755,37145.12497455148,37145.12497455148,23056.9528134756
2025-06-21,20:00-20:10,121,0.0,0.0,37145.12497455148,37145.12497455148,23056.9528134756
2025-09-23,10:00-10:10,61,0.0,0.0,69085.3063982354,70428.76952561358,53700.201758213414
2025-09-23,12:00-12:10,73,275.5658622557364,453.14617722352,69085.3063982354,70428.76952561358,53700.201758213414
2025-09-23,14:00-14:10,85,0.0,0.0,69085.3063982354,70428.76952561358,53700.201758213414
2025-09-23,16:00-16:10,97,598.5096297288092,598.5096297288092,69085.3063982354,70428.76952561358,53700.201758213414
2025-09-23,18:00-18:10,109,741.6729431708452,741.6729431708452,69085.3063982354,70428.76952561358,53700.201758213414
2025-09-23,20:00-20:10,121,0.0,0.0,69085.3063982354,70428.76952561358,53700.201758213414
2025-12-21,10:00-10:10,61,413.9029146724319,413.9029146724319,95933.01006099759,98004.3666900336,69088.62243994328
2025-12-21,12:00-12:10,73,820.0891872205208,839.4892907548431,95933.01006099759,98004.3666900336,69088.62243994328
2025-12-21,14:00-14:10,85,0.0,0.0,95933.01006099759,98004.3666900336,69088.62243994328
2025-12-21,16:00-16:10,97,901.6923234945896,901.6923234945896,95933.01006099759,98004.3666900336,69088.62243994328
2025-12-21,18:00-18:10,109,705.096456586722,705.096456586722,95933.01006099759,98004.3666900336,69088.62243994328
2025-12-21,20:00-20:10,121,0.0,0.0,95933.01006099759,98004.3666900336,69088.62243994328
