policy,date,original_plan_cost_yuan,final_non_emergency_cost_yuan,adjustment_net_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
C0,2025-02-01,23015.71526464124,23015.71526464124,0.0,550.7694910906247,23566.484755731864,267.8188626747507,7972.857507395945,13607.605074639527,14227.796178021836,1348.2983693735418,10495.820188938704,1348.2983693735418
C0,2025-02-02,64829.5135245637,64829.5135245637,0.0,285.4308311079858,65114.94435567169,48.076897591634335,17645.821899663573,18673.30085615385,15233.781105007629,1227.8456899035332,9641.901362157234,1227.8456899035332
C0,2025-02-03,66899.02269067778,66899.02269067778,0.0,303.33630210173794,67202.35899277953,72.81556924963866,18994.7723371503,18939.596457510594,15366.134251496762,1200.0,9705.817939567522,1200.0
C0,2025-02-04,65775.72092131621,65775.72092131621,0.0,6.540286806252763,65782.26120812247,3.025109531106736,14988.624241605177,19671.093170347787,15888.015584032159,1200.0,9471.423418391385,1250.633204388392
C0,2025-02-05,60891.49589105022,60891.49589105022,0.0,1962.4820135679895,62853.9779046182,618.6164536470815,9254.316914293884,19720.620755640768,15990.847810741683,1220.3941805346126,9470.47909973249,1231.5832058632134
C0,2025-02-06,64570.6805028747,64570.6805028747,0.0,434.1815370112931,65004.86203988599,89.03402530743259,14470.807216447001,19732.11075284036,15832.414899247102,1231.5832058632134,9734.14453968254,1398.9107731449815
C0,2025-02-07,30867.07424657381,30867.07424657381,0.0,581.9299899610439,31449.004236534853,91.85035882209581,20730.52531470475,15405.98909061608,12634.511507429082,1225.9548353338075,9217.635491965948,1225.9548353338075
C0,2025-02-08,22689.139119572385,22689.139119572385,0.0,12181.29129586498,34870.43041543737,3316.9093729718943,10385.154640651434,17115.14089435839,13858.356957907095,1200.0,9362.782901167753,1231.4072425818067
C0,2025-02-09,59756.35669093377,59756.35669093377,0.0,7589.349696153499,67345.70638708727,1901.457319997588,11508.96276059158,20092.417710026763,16302.792097318596,1200.3697401407833,9686.809619870848,1200.3697401407835
C0,2025-02-10,58412.62017220976,58412.62017220976,0.0,1135.9548721539827,59548.575044363744,311.60637415771794,13601.961093563226,18691.991608722943,15140.845969192289,1200.0,9737.855029605857,1200.0
C0,2025-02-11,53710.3113430686,53710.3113430686,0.0,7776.175693356577,61486.48703642518,1811.4608721106897,7291.584504153871,23044.55533386605,18652.56308819832,1200.0,10534.723210081704,1215.0297024813326
C0,2025-02-12,53920.95996245927,53920.95996245927,0.0,2900.218920724678,56821.178883183944,682.6137670356807,6462.785870319162,21829.181691784932,17678.861612312263,1200.0,10336.89544772333,1218.1136558519272
C0,2025-02-13,50615.90264750629,50615.90264750629,0.0,6775.478082098816,57391.38072960511,1699.9089176977677,7620.544603912381,20292.35517420601,16422.175416753285,1200.0,10429.047089701702,1234.3717384670076
C0,2025-02-14,19774.250126874693,19774.250126874693,0.0,7980.756522813955,27755.00664968865,2250.700690883787,7041.000376113763,17960.044489258693,14578.570600919842,1200.0,10264.32452625161,1200.0
