date,slot,policy,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,original_grid_plan_kwh,final_grid_plan_kwh,emergency_purchase_kwh,charge_kwh,discharge_kwh,remaining_energy_kwh,soc_start_kwh,soc_end_kwh,balance_error_kwh,original_plan_cost_yuan,final_non_emergency_cost_yuan,adjustment_increase_kwh,adjustment_decrease_kwh,adjustment_net_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-03-20,1,C3,0.4248,549.8448166666667,0.0,594.7990304165063,0.0,1437.4035568545355,1437.4035568545355,0.0,0.0,0.0,887.5587401878688,1408.0836897760962,1408.0836897760962,0.0,610.6090309518067,610.6090309518067,0.0,0.0,0.0,0.0,610.6090309518067
2025-03-20,2,C3,0.4245,570.3135,0.0,589.139188266639,0.0,1420.5697285801912,1420.5697285801912,0.0,0.0,0.0,850.2562285801912,1408.0836897760962,1408.0836897760962,0.0,603.0318497822911,603.0318497822911,0.0,0.0,0.0,0.0,603.0318497822911
2025-03-20,3,C3,0.4269,613.8516666666667,0.0,576.9388940664282,0.0,1408.9014923370532,1408.9014923370532,0.0,795.0498256703866,0.0,0.0,1408.0836897760962,2123.6285328794443,0.0,601.460047078688,601.460047078688,0.0,0.0,0.0,0.0,601.460047078688
2025-03-20,4,C3,0.4272,579.4561666666667,0.0,585.5582872442625,0.0,1396.5035111404613,1396.5035111404613,0.0,817.0398525075819,0.0,0.00749196621268311,2123.6285328794443,2858.964400136268,0.0,596.5862999592051,596.5862999592051,0.0,0.0,0.0,0.0,596.5862999592051
2025-03-20,5,C3,0.4271,550.4449166666667,0.0,580.117133400828,0.0,1400.0662264365242,1400.0662264365242,0.0,819.9490930356963,0.0,29.672216734161225,2858.964400136268,3596.9185838683948,0.0,597.9682853110395,597.9682853110395,0.0,0.0,0.0,0.0,597.9682853110395
2025-03-20,6,C3,0.4285,571.1566666666666,0.0,557.7650216084285,0.0,1340.6454074355493,1340.6454074355493,0.0,769.4887407688826,0.0,0.0,3596.9185838683948,4289.458450560389,0.0,574.4665570861329,574.4665570861329,0.0,0.0,0.0,0.0,574.4665570861329
2025-03-20,7,C3,0.4311,601.5890499999999,0.0,551.0084139160858,0.0,599.5636841612497,599.5636841612497,2.02536583875019,0.0,0.0,0.0,4289.458450560389,4289.458450560389,0.0,258.47190424191473,258.47190424191473,0.0,0.0,0.0,4.365676065426035,262.8375803073408
2025-03-20,8,C3,0.4302,611.48375,0.0,543.6680281025319,0.0,1360.2581837352054,1360.2581837352054,84.55889959812794,833.3333333333334,0.0,0.0,4289.458450560389,5039.458450560389,0.0,585.1830706428854,585.1830706428854,0.0,0.0,0.0,181.8861930355732,767.0692636784586
2025-03-20,9,C3,0.4279,598.2166666666667,0.0,535.9056074442731,0.0,1361.656325135059,1361.656325135059,69.89367486494109,833.3333333333334,0.0,0.0,5039.458450560389,5789.458450560389,1.1368683772161603e-13,582.6527415252917,582.6527415252917,0.0,0.0,0.0,149.53751737354145,732.1902588988332
2025-03-20,10,C3,0.4312,583.9359499999999,0.0,550.3697124832269,0.0,551.5366549710432,551.5366549710432,32.39929502895677,0.0,0.0,0.0,5789.458450560389,5789.458450560389,0.0,237.82260562351382,237.82260562351382,0.0,0.0,0.0,69.8528800824308,307.67548570594465
2025-03-20,11,C3,0.4333,590.99505,0.0,582.5763570684447,0.0,587.740449210905,587.740449210905,3.2546007890949795,0.0,0.0,0.0,5789.458450560389,5789.458450560389,0.0,254.66793664308514,254.66793664308514,0.0,0.0,0.0,7.051092609574273,261.7190292526594
2025-03-20,12,C3,0.4311,598.4433333333333,0.0,599.86445143854,0.0,1328.83263805542,1328.83263805542,5.310179974315474,735.6994846964021,0.0,0.0,5789.458450560389,6451.587986787151,-1.1368683772161603e-13,572.8597502656916,572.8597502656916,0.0,0.0,0.0,11.446092934637004,584.3058432003286
2025-03-20,13,C3,0.4293,565.9836166666666,0.0,572.0856820541409,0.0,1391.473506049956,1391.473506049956,7.84344395004382,833.3333333333333,0.0,0.0,6451.587986787151,7201.587986787151,0.0,597.3595761472461,597.3595761472461,0.0,0.0,0.0,16.83595243876906,614.1955285860151
