analysis_type,policy,date,final_vs_original_non_emergency_yuan,sequential_revision_non_emergency_yuan,difference_yuan
fixed existing policy trajectory repricing,C0,2025-02-01,23015.715264641243,23015.715264641243,0.0
fixed existing policy trajectory repricing,C0,2025-02-02,64829.5135245637,64829.5135245637,0.0
fixed existing policy trajectory repricing,C0,2025-02-03,66899.02269067778,66899.02269067778,0.0
fixed existing policy trajectory repricing,C0,2025-02-04,65775.72092131621,65775.72092131621,0.0
fixed existing policy trajectory repricing,C0,2025-02-05,60891.49589105022,60891.49589105022,0.0
fixed existing policy trajectory repricing,C0,2025-02-06,64570.6805028747,64570.6805028747,0.0
fixed existing policy trajectory repricing,C0,2025-02-07,30867.07424657381,30867.07424657381,0.0
fixed existing policy trajectory repricing,C0,2025-02-08,22689.139119572385,22689.139119572385,0.0
fixed existing policy trajectory repricing,C0,2025-02-09,59756.35669093377,59756.35669093377,0.0
fixed existing policy trajectory repricing,C0,2025-02-10,58412.62017220976,58412.62017220976,0.0
fixed existing policy trajectory repricing,C0,2025-02-11,53710.3113430686,53710.3113430686,0.0
fixed existing policy trajectory repricing,C0,2025-02-12,53920.95996245927,53920.95996245927,0.0
fixed existing policy trajectory repricing,C0,2025-02-13,50615.90264750629,50615.90264750629,0.0
fixed existing policy trajectory repricing,C0,2025-02-14,19774.250126874693,19774.250126874693,0.0
fixed existing policy trajectory repricing,C0,2025-02-15,22757.75874842943,22757.75874842943,0.0
fixed existing policy trajectory repricing,C0,2025-02-16,60414.17670975914,60414.17670975914,0.0
fixed existing policy trajectory repricing,C0,2025-02-17,55222.64753202977,55222.64753202977,0.0
fixed existing policy trajectory repricing,C0,2025-02-18,48588.82172168333,48588.82172168333,0.0
fixed existing policy trajectory repricing,C0,2025-02-19,47458.26088510193,47458.26088510193,0.0
fixed existing policy trajectory repricing,C0,2025-02-20,50395.32327519231,50395.32327519231,0.0
fixed existing policy trajectory repricing,C0,2025-02-21,18273.06604032948,18273.06604032948,0.0
fixed existing policy trajectory repricing,C0,2025-02-22,22820.45194437992,22820.45194437992,0.0
fixed existing policy trajectory repricing,C0,2025-02-23,47986.25894818277,47986.25894818277,0.0
fixed existing policy trajectory repricing,C0,2025-02-24,47414.47239339375,47414.47239339375,0.0
fixed existing policy trajectory repricing,C0,2025-02-25,52679.28357510974,52679.28357510974,0.0
fixed existing policy trajectory repricing,C0,2025-02-26,44139.36416437451,44139.36416437451,0.0
fixed existing policy trajectory repricing,C0,2025-02-27,45383.003735363214,45383.003735363214,0.0
fixed existing policy trajectory repricing,C0,2025-02-28,17774.330603746264,17774.330603746264,0.0
fixed existing policy trajectory repricing,C0,2025-03-01,24047.696215832773,24047.696215832773,0.0
fixed existing policy trajectory repricing,C0,2025-03-02,57554.79960046922,57554.79960046922,0.0
fixed existing policy trajectory repricing,C0,2025-03-03,55486.35615445391,55486.35615445391,0.0
fixed existing policy trajectory repricing,C0,2025-03-04,46742.71723803806,46742.71723803806,0.0
fixed existing policy trajectory repricing,C0,2025-03-05,52611.32421344979,52611.32421344979,0.0
fixed existing policy trajectory repricing,C0,2025-03-06,45914.04275828255,45914.04275828255,0.0
fixed existing policy trajectory repricing,C0,2025-03-07,18459.633174839477,18459.633174839477,0.0
fixed existing policy trajectory repricing,C0,2025-03-08,20529.34164417146,20529.34164417146,0.0
fixed existing policy trajectory repricing,C0,2025-03-09,46406.20919670456,46406.20919670456,0.0
fixed existing policy trajectory repricing,C0,2025-03-10,45512.73662635449,45512.73662635449,0.0
fixed existing policy trajectory repricing,C0,2025-03-11,39022.99329025206,39022.99329025206,0.0
fixed existing policy trajectory repricing,C0,2025-03-12,45985.0431062748,45985.0431062748,0.0
fixed existing policy trajectory repricing,C0,2025-03-13,42763.02573935455,42763.02573935455,0.0
fixed existing policy trajectory repricing,C0,2025-03-14,15605.574650696097,15605.574650696097,0.0
fixed existing policy trajectory repricing,C0,2025-03-15,15595.007109566626,15595.007109566626,0.0
fixed existing policy trajectory repricing,C0,2025-03-16,43243.499043300886,43243.499043300886,0.0
fixed existing policy trajectory repricing,C0,2025-03-17,39830.89158531286,39830.89158531286,0.0
fixed existing policy trajectory repricing,C0,2025-03-18,45148.08266155592,45148.08266155592,0.0
fixed existing policy trajectory repricing,C0,2025-03-19,37505.65446011708,37505.65446011708,0.0
fixed existing policy trajectory repricing,C0,2025-03-20,43049.94642193864,43049.94642193864,0.0
fixed existing policy trajectory repricing,C0,2025-03-21,15508.755900573757,15508.755900573757,0.0
fixed existing policy trajectory repricing,C0,2025-03-22,16404.846931664862,16404.846931664862,0.0
fixed existing policy trajectory repricing,C0,2025-03-23,42908.744213287166,42908.744213287166,0.0
fixed existing policy trajectory repricing,C0,2025-03-24,41384.46197798558,41384.46197798558,0.0
fixed existing policy trajectory repricing,C0,2025-03-25,44953.57036306791,44953.57036306791,0.0
fixed existing policy trajectory repricing,C0,2025-03-26,39063.19822578518,39063.19822578518,0.0
fixed existing policy trajectory repricing,C0,2025-03-27,41016.914466854745,41016.914466854745,0.0
fixed existing policy trajectory repricing,C0,2025-03-28,15528.25481795866,15528.25481795866,0.0
fixed existing policy trajectory repricing,C0,2025-03-29,14224.149526888814,14224.149526888814,0.0
fixed existing policy trajectory repricing,C0,2025-03-30,39431.77317139635,39431.77317139635,0.0
fixed existing policy trajectory repricing,C0,2025-03-31,36529.97673127657,36529.97673127657,0.0
fixed existing policy trajectory repricing,C0,2025-04-01,41740.1288720828,41740.1288720828,0.0
fixed existing policy trajectory repricing,C0,2025-04-02,40681.06246649328,40681.06246649328,0.0
fixed existing policy trajectory repricing,C0,2025-04-03,41892.90705999706,41892.90705999706,0.0
fixed existing policy trajectory repricing,C0,2025-04-04,14258.126260128103,14258.126260128103,0.0
fixed existing policy trajectory repricing,C0,2025-04-05,13913.99414002898,13913.99414002898,0.0
fixed existing policy trajectory repricing,C0,2025-04-06,38737.862385749104,38737.862385749104,0.0
fixed existing policy trajectory repricing,C0,2025-04-07,34676.35032679342,34676.35032679342,0.0
fixed existing policy trajectory repricing,C0,2025-04-08,41885.515843755005,41885.515843755005,0.0
fixed existing policy trajectory repricing,C0,2025-04-09,39685.651859497215,39685.651859497215,0.0
fixed existing policy trajectory repricing,C0,2025-04-10,37777.55531737282,37777.55531737282,0.0
fixed existing policy trajectory repricing,C0,2025-04-11,13329.841129091474,13329.841129091474,0.0
fixed existing policy trajectory repricing,C0,2025-04-12,14574.357281253868,14574.357281253868,0.0
fixed existing policy trajectory repricing,C0,2025-04-13,37131.75458221922,37131.75458221922,0.0
fixed existing policy trajectory repricing,C0,2025-04-14,39178.874195076736,39178.874195076736,0.0
fixed existing policy trajectory repricing,C0,2025-04-15,33539.67795034383,33539.67795034383,0.0
fixed existing policy trajectory repricing,C0,2025-04-16,36672.18001438782,36672.18001438782,0.0
fixed existing policy trajectory repricing,C0,2025-04-17,34206.75823753544,34206.75823753544,0.0
fixed existing policy trajectory repricing,C0,2025-04-18,13449.420677720422,13449.420677720422,0.0
fixed existing policy trajectory repricing,C0,2025-04-19,12492.053155111029,12492.053155111029,0.0
fixed existing policy trajectory repricing,C0,2025-04-20,33314.715902966665,33314.715902966665,0.0
fixed existing policy trajectory repricing,C0,2025-04-21,36628.40053532885,36628.40053532885,0.0
fixed existing policy trajectory repricing,C0,2025-04-22,32280.62061815639,32280.62061815639,0.0
fixed existing policy trajectory repricing,C0,2025-04-23,32315.981888982857,32315.981888982857,0.0
fixed existing policy trajectory repricing,C0,2025-04-24,31225.45796676879,31225.45796676879,0.0
fixed existing policy trajectory repricing,C0,2025-04-25,12655.21255640554,12655.21255640554,0.0
fixed existing policy trajectory repricing,C0,2025-04-26,12639.177108630967,12639.177108630967,0.0
fixed existing policy trajectory repricing,C0,2025-04-27,29814.6662724185,29814.6662724185,0.0
fixed existing policy trajectory repricing,C0,2025-04-28,38370.36368500743,38370.36368500743,0.0
fixed existing policy trajectory repricing,C0,2025-04-29,32516.74097704095,32516.74097704095,0.0
fixed existing policy trajectory repricing,C0,2025-04-30,30893.213219371617,30893.213219371617,0.0
fixed existing policy trajectory repricing,C0,2025-05-01,32401.58733384704,32401.58733384704,0.0
fixed existing policy trajectory repricing,C0,2025-05-02,14106.125844314269,14106.125844314269,0.0
fixed existing policy trajectory repricing,C0,2025-05-03,13268.603769615089,13268.603769615089,0.0
fixed existing policy trajectory repricing,C0,2025-05-04,35334.61083308458,35334.61083308458,0.0
