date,interval,slot,original_grid_plan_kwh,final_grid_plan_kwh,daily_total_cost_yuan
2025-03-20,10:00-10:10,61,0.0,0.0,55517.05681114363
2025-03-20,12:00-12:10,73,673.7825300670852,493.6553867446072,55517.05681114363
2025-03-20,14:00-14:10,85,0.0,0.0,55517.05681114363
2025-03-20,16:00-16:10,97,672.6814742301052,672.6814742301052,55517.05681114363
2025-03-20,18:00-18:10,109,0.0,0.0,55517.05681114363
2025-03-20,20:00-20:10,121,0.0,0.0,55517.05681114363
2025-06-21,10:00-10:10,61,0.0,0.0,19929.762863468237
2025-06-21,12:00-12:10,73,0.0,0.0,19929.762863468237
2025-06-21,14:00-14:10,85,0.0,0.0,19929.762863468237
2025-06-21,16:00-16:10,97,129.67835173143624,129.67835173143624,19929.762863468237
2025-06-21,18:00-18:10,109,527.0238545708321,527.0238545708321,19929.762863468237
2025-06-21,20:00-20:10,121,0.0,0.0,19929.762863468237
2025-09-23,10:00-10:10,61,0.0,0.0,54929.45537016446
2025-09-23,12:00-12:10,73,275.5658622557364,309.70424666796407,54929.45537016446
2025-09-23,14:00-14:10,85,0.0,0.0,54929.45537016446
2025-09-23,16:00-16:10,97,598.5096297288092,598.5096297288092,54929.45537016446
2025-09-23,18:00-18:10,109,0.0,0.0,54929.45537016446
2025-09-23,20:00-20:10,121,738.0361168322801,738.0361168322801,54929.45537016446
2025-12-21,10:00-10:10,61,0.0,0.0,80114.75320731458
2025-12-21,12:00-12:10,73,820.0891872205208,842.215717181979,80114.75320731458
2025-12-21,14:00-14:10,85,0.0,0.0,80114.75320731458
2025-12-21,16:00-16:10,97,901.6923234945896,901.6923234945896,80114.75320731458
2025-12-21,18:00-18:10,109,705.096456586722,705.096456586722,80114.75320731458
2025-12-21,20:00-20:10,121,0.0,0.0,80114.75320731458
